id,exercise_name,calories,type
0,Partner plank band row,374,Strength
1,Banded crunch isometric hold,425,Strength
2,FYR Banded Plank Jack,173,Strength
3,Banded crunch,190,Strength
4,Crunch,111,Strength
5,Decline band press sit-up,444,Strength
6,FYR2 Banded Frog Pump,458,Strength
7,Band low-to-high twist,163,Strength
8,Barbell roll-out,469,Strength
9,Barbell Ab Rollout - On Knees,57,Strength
10,Decline bar press sit-up,91,Strength
11,Bench barbell roll-out,384,Strength
12,Barbell Side Bend,345,Strength
13,Seated bar twist,433,Strength
14,Single-arm landmine pull and press,286,Strength
15,Barbell Ab Roll Out - Gethin Variation,357,Strength
16,30 Barbell Floor Wiper,55,Strength
17,30 Barbell Roll-Out,317,Strength
18,Decline plate sit-up,227,Strength
19,KV Barbell Hip Thrust,148,Strength
20,Advanced Kettlebell Windmill,493,Strength
21,Kettlebell Windmill,130,Strength
22,Kettlebell Pass Between The Legs,358,Strength
23,Kettlebell 3-point leg extension,219,Strength
24,Double Kettlebell Swing,408,Strength
25,Burpee over kettlebell,102,Strength
26,Kettlebell toe-touch,318,Strength
27,Kettlebell swing,334,Strength
28,Two-way swing,367,Strength
29,Kettlebell crab reach,66,Strength
30,Taylor Single-Arm Kettlebell Swing,206,Strength
31,Holman Kettlebell Up to Elbow Down,478,Strength
32,FYR2 Double-Kettlebell Ski,425,Strength
33,FYR2 Kettlebell Hike,59,Strength
34,FYR2 Kettlebell Cross-Body Catch,418,Strength
35,FYR2 Kettlebell Duck Walk,173,Strength
36,FYR2 Kettlebell Get-Up Reach,76,Strength
37,FYR2 Kettlebell Juggle,112,Strength
38,FYR2 Squat-Clean-Alternating-Press Complex,209,Strength
39,Dumbbell V-Sit Cross Jab,75,Strength
40,Dumbbell spell caster,383,Strength
41,Dumbbell side bend,476,Strength
42,Dumbbell crunch,300,Strength
43,Dumbbell Fix Dumbbell Sprawl,292,Strength
44,Dumbbell Fix Alternating Renegade Row,332,Strength
45,Dumbbell Fix Dumbbell Mountain Climber,281,Strength
46,Dumbbell Fix Dumbbell Russian Twist,232,Strength
47,Dumbbell Fix Dumbbell Pull-Over,155,Strength
48,Dumbbell Fix Dumbbell Sit-Up,177,Strength
49,Dumbbell Fix Dumbbell Front Squat,496,Strength
50,Dumbbell Fix Full Man Maker,403,Strength
51,Dumbbell T-hold,164,Strength
52,Dumbbell hollow-body floor press,75,Strength
53,Dumbbell crusher,326,Strength
54,Dumbbell Crunch - Gethin Variation,54,Strength
55,Single-arm dumbbell crunch,369,Strength
56,HM Alternating Dumbbell Plank Row,485,Strength
57,Dumbbell straight-legged hip raise,322,Strength
58,Seated leg tuck with dumbbell,70,Strength
59,Dumbbell V-sit cross jab-,268,Strength
60,30 Hanging Leg Raise With Dumbbell,127,Strength
61,Dumbbell Get-Up Sit-Up,116,Strength
62,Holman Right Side Plank with Left Triceps Press,462,Strength
63,Holman Left Side Plank with Right Triceps Press,447,Strength
64,Holman Boat with Feet Push-Out and Overhead Press,145,Strength
65,Holman Hovering Plank Row,152,Strength
66,Holman Weighted Seated Killer Abs to Russian Twist,155,Strength
